CHAR ID;CHAR NAMES;KEYS;Turkish;English;Spanish;Portuguese;German;French;Italian;Polish;Russian;ChineseSimplified;ChineseTraditional;Japanese;Korean;Indian;Arabic;Bengali;Indonesian;Thai;Vietnamese
;;Languages;Türkçe;English;Español;Português;Deutsch;Français;Italiano;Polski;Русский;简体中文;繁體中文;日本語;한국어;हिन्दी;العربية;বাংলা;Bahasa Indonesia;ภาษาไทย;Tiếng Việt
;;UIButton_Continue;Devam Et;Continue;Continuar;Continuar;Fortfahren;Continuer;Continua;Kontynuuj;Продолжить;继续;繼續;続ける;계속;जारी रखें;متابعة;চালিয়ে যান;Lanjutkan;ดำเนินการต่อ;Tiếp tục
;;UIButton_NewGame;Yeni Oyun;New Game;Nuevo Juego;Novo Jogo;Neues Spiel;Nouveau Jeu;Nuovo Gioco;Nowa Gra;Новая игра;新游戏;新遊戲;新しいゲーム;새 게임;नया खेल;لعبة جديدة;নতুন খেলা;Game Baru;เกมใหม่;Trò chơi mới
;;UIButton_LoadGame;Kaydı Yükle;Load Game;Cargar Partida;Carregar Jogo;Spiel laden;Charger Partie;Carica Gioco;Wczytaj grę;Загрузить игру;加载游戏;加載遊戲;ゲームをロードする;게임 로드;खेल लोड करें;تحميل اللعبة;গেম লোড করুন;Muat Game;โหลดเกม;Tải trò chơi
;;UIButton_Options;Ayarlar;Options;Opciones;Opções;Optionen;Options;Opzioni;Opcje;Настройки;选项;選項;オプション;옵션;विकल्प;خيارات;বিকল্প;Opsi;ตัวเลือก;Tùy chọn
;;UIButton_Credits;Katkıda Bulunanlar;Credits;Créditos;Créditos;Credits;Crédits;Crediti;Twórcy;Создатели;制作人员;製作人員;クレジット;제작진;श्रेय;الاعتمادات;ক্রেডিটস;Kredit;เครดิต;Tín dụng
;;Close;Kapat;Close;Cerrar;Fechar;Schließen;Fermer;Chiudi;Zamknij;Закрыть;关闭;關閉;閉じる;닫기;बंद करें;إغلاق;বন্ধ করুন;Tutup;ปิด;Đóng
;;Options_Music;Müzik;Music;Música;Música;Musik;Musique;Musica;Muzyka;Музыка;音乐;音樂;音楽;음악;संगीत;موسيقى;সঙ্গীত;Musik;เพลง;Âm nhạc
;;Options_Sounds;Sesler;Sounds;Sonidos;Sons;Sounds;Sons;Suoni;Dźwięki;Звуки;声音;聲音;サウンド;사운드;ध्वनियाँ;أصوات;শব্দ;Suara;เสียง;Âm thanh
;;Options_Voice;Konuşma Sesi;Voice;Voz;Voz;Stimme;Voix;Voce;Głos;Голос;声音;聲音;声;목소리;आवाज़;صوت;কণ্ঠস্বর;Suara;เสียงพูด;Giọng nói
;;Options_VFX;Efektler;VFX;VFX;VFX;VFX;VFX;VFX;VFX;VFX;视觉效果;視覺效果;VFX;시각 효과;वीएफएक्स;المؤثرات المرئية;ভিএফএক্স;VFX;เอฟเฟกต์ภาพ;Hiệu ứng hình ảnh
