CHAR ID;CHAR NAMES;KEYS;Turkish;English;Spanish;Portuguese;German;French;Italian;Polish;Russian;ChineseSimplified;ChineseTraditional;Japanese;Korean;Indian;Arabic;Bengali;Indonesian;Thai;Vietnamese
;;chapter1;Bölüm 1\nYAPAYALNIZ;Chapter 1\nCOMPLETELY ALONE;Capítulo 1\nCOMPLETAMENTE SOLO;Capítulo 1\nCOMPLETAMENTE SOZINHO;Kapitel 1\nVOLLKOMMEN ALLEIN;Chapitre 1\nCOMPLÈTEMENT SEUL;Capitolo 1\nCOMPLETAMENTE SOLO;Rozdział 1\nCAŁKOWICIE SAM;Глава 1\nПОЛНОСТЬЮ ОДИН;第一章\n完全孤独;第一章\n完全孤獨;第1章\n完全に一人;1장\n완전히 혼자;अध्याय 1\nपूरी तरह से अकेला;الفصل 1\nوحيد تماماً;অধ্যায় 1\nসম্পূর্ণ একা;Bab 1\nBENAR-BENAR SENDIRI;บทที่ 1\nอยู่คนเดียว;Chương 1\nHOÀN TOÀN MỘT MÌNH
;;wakeup;Uyan;Wake Up;Despierta;Acorde;Wach auf;Réveille-toi;Svegliati;Obudź się;Проснись;醒来;醒來;目を覚まして;깨어나라;जागो;استيقظ;জাগো;Bangun;ตื่น;Thức dậy
;;getup;Kalk;Get Up;Levántate;Levante-se;Steh auf;Lève-toi;Alzati;Wstań;Встань;起来;起來;起きて;일어나;उठो;انهض;উঠুন;Bangkit;ลุกขึ้น;Đứng lên
1;Althea;what;Ne?;What?;¿Qué?;O quê?;Was?;Quoi?;Cosa?;Co?;Что?;什么？;什麼？;何？;뭐?;क्या?;ماذا؟;কি?;Apa?;อะไร?;Gì?
1;Althea;whereAmI;Neredeyim ben?;Where am I?;¿Dónde estoy?;Onde estou?;Wo bin ich?;Où suis-je?;Dove sono?;Gdzie jestem?;Где я?;我在哪里？;我在哪裡？;私はどこ？;여기가 어디지?;मैं कहाँ हूँ?;أين أنا؟;আমি কোথায়?;Dimana saya?;ฉันอยู่ที่ไหน?;Tôi đang ở đâu?
1;Althea;whoAmI;Ben kimim?;Who am I?;¿Quién soy?;Quem sou eu?;Wer bin ich?;Qui suis-je?;Chi sono?;Kim jestem?;Кто я?;我是谁？;我是誰？;私は誰？;나는 누구지?;मैं कौन हूँ?;من أنا؟;আমি কে?;Siapa saya?;ฉันคือใคร?;Tôi là ai?
1;Althea;allright;Pekala…;Allright…;Está bien…;Tudo bem…;In Ordnung…;D'accord…;Va bene…;W porządku…;Ладно…;好吧…;好吧…;よし…;좋아…;ठीक है…;حسناً…;ঠিক আছে…;Baiklah…;ตกลง…;Được rồi…
1;Althea;timeToExplore;…etrafı keşfetme zamanı!;…time to explore!;…es hora de explorar!;…é hora de explorar!;…Zeit, die Umgebung zu erkunden!;…il est temps d'explorer!;…è tempo di esplorare!;…czas na eksplorację!;…время исследовать!;…是时候探索了！;…是時候探索了！;…探索の時間です！;…탐험할 시간이야!;…खोज करने का समय है!;…حان وقت الاستكشاف!;…আবিষ্কারের সময়!;…saatnya menjelajah!;…ได้เวลาสำรวจแล้ว!;…đã đến lúc khám phá!
1;Althea;whatIsThisHugeThing;Bu kocaman şeycik de ne böyle? Bir ağaç mı? Neden diğerlerinden farklı?;What is that huge thingy? Is it a tree? Why is it different from the others?;¿Qué es esa cosa enorme? ¿Es un árbol? ¿Por qué es diferente de los demás?;O que é essa coisa enorme? É uma árvore? Por que é diferente das outras?;Was ist das für ein riesiges Ding? Ist es ein Baum? Warum ist es anders als die anderen?;Qu'est-ce que cette énorme chose? Est-ce un arbre? Pourquoi est-il différent des autres?;Che cos'è quella cosa enorme? È un albero? Perché è diverso dagli altri?;Co to za ogromna rzecz? Czy to drzewo? Dlaczego różni się od innych?;Что это за огромная штука? Это дерево? Почему оно отличается от других?;那是什么巨大的东西？是树吗？为什么它和其他的不同？;那是什麼巨大的東西？是樹嗎？為什麼它和其他的不同？;あの大きなものは何？木ですか？なぜ他のと違うの？;저 거대한 것은 뭐지? 나무인가? 왜 다른 것들과 다르지?;यह विशाल चीज़ क्या है? क्या यह एक पेड़ है? यह दूसरों से अलग क्यों है?;ما هذه الشيء الضخم؟ هل هو شجرة؟ لماذا هو مختلف عن الآخرين؟;এই বিশাল জিনিসটি কি? এটি কি একটি গাছ? এটি অন্যদের থেকে আলাদা কেন?;Apa itu benda besar itu? Apakah itu pohon? Mengapa itu berbeda dari yang lain?;สิ่งใหญ่โตนั้นคืออะไร? มันคือต้นไม้หรือเปล่า? ทำไมมันแตกต่างจากต้นอื่น?;Cái thứ to lớn đó là gì? Có phải là cây không? Tại sao nó khác với những cây khác?
;;closerBigFungus;*ilginç büyük ağaca doğru yaklaşır.*;*moves closer to giant strange tree.*;*se acerca al árbol gigante extraño.*;*aproxima-se da árvore gigante estranha.*;*nähert sich dem riesigen seltsamen Baum.*;*s'approche de l'arbre géant étrange.*;*si avvicina all'albero gigante strano.*;*zbliża się do dziwnego wielkiego drzewa.*;*подходит к гигантскому странному дереву.*;*靠近巨大的奇怪树木。*;*靠近巨大的奇怪樹木。*;*巨大で奇妙な木に近づく。*;*거대한 이상한 나무에 다가간다.*;*विशाल अजीब पेड़ के करीब जाता है।*;*يقترب من الشجرة العملاقة الغريبة.*;*বিরাট অদ্ভুত গাছটির কাছে যায়।*;*bergerak mendekati pohon raksasa aneh.*;*ขยับเข้าใกล้ต้นไม้ใหญ่แปลกประหลาด.*;*di chuyển gần hơn tới cây kỳ lạ khổng lồ.*
;;approachBigFungus;*ilginç büyük ağaca doğru daha da yaklaşır.*;*approaches to giant strange tree.*;*se aproxima al árbol gigante extraño.*;*chega mais perto da árvore gigante estranha.*;*geht näher an den riesigen seltsamen Baum heran.*;*se rapproche de l'arbre géant étrange.*;*si avvicina ulteriormente all'albero gigante strano.*;*podchodzi bliżej dziwnego wielkiego drzewa.*;*подходит ближе к гигантскому странному дереву.*;*更接近巨大的奇怪树木。*;*更接近巨大的奇怪樹木。*;*さらに巨大で奇妙な木に近づく。*;*거대한 이상한 나무에 더 가까이 다가간다.*;*विशाल अजीब पेड़ के और करीब जाता है।*;*يقترب أكثر من الشجرة العملاقة الغريبة.*;*বিরাট অদ্ভুত গাছটির আরও কাছে যায়।*;*mendekati pohon raksasa aneh lebih dekat.*;*เข้าใกล้ต้นไม้ใหญ่แปลกประหลาดมากขึ้น.*;*đến gần hơn tới cây kỳ lạ khổng lồ.*
1;Althea;areUTheChild;Küçük mantar mı? Selam küçük arkadaşımm! Sen bu canavar arkadaşın çocuğu musun?;A small tree? Hey small friend! Could you possibly be the child of this strange tree friend?;¿Un árbol pequeño? ¡Hola, pequeño amigo! ¿Podrías ser el hijo de este árbol extraño?;Uma árvore pequena? Oi, pequeno amigo! Você poderia ser o filho desta árvore estranha?;Ein kleiner Baum? Hallo, kleiner Freund! Könntest du vielleicht das Kind dieses seltsamen Baumes sein?;Un petit arbre? Salut petit ami! Pourrais-tu être l'enfant de cet étrange arbre?;Un piccolo albero? Ciao piccolo amico! Potresti essere il figlio di questo strano albero?;Małe drzewo? Hej, mały przyjacielu! Czy możesz być dzieckiem tego dziwnego drzewa?;Маленькое дерево? Привет, маленький друг! Ты, случайно, не ребенок этого странного дерева?;一棵小树？嗨，小朋友！你可能是这棵奇怪的大树的孩子吗？;一棵小樹？嗨，小朋友！你可能是這棵奇怪的大樹的孩子嗎？;小さな木？こんにちは、小さな友達！もしかしてこの奇妙な木の子供ですか？;작은 나무? 안녕, 작은 친구! 혹시 이 이상한 나무의 자식인가?;एक छोटा पेड़? हे छोटे दोस्त! क्या आप इस अजीब पेड़ के बच्चे हो सकते हैं?;شجرة صغيرة؟ مرحباً أيها الصديق الصغير! هل يمكن أن تكون ابن هذه الشجرة الغريبة؟;একটি ছোট গাছ? হ্যালো ছোট বন্ধু! তুমি কি এই অদ্ভুত গাছটির সন্তান হতে পারো?;Sebuah pohon kecil? Hai teman kecil! Apakah kamu anak dari pohon aneh ini?;ต้นไม้เล็ก ๆ? สวัสดีเพื่อนตัวน้อย! คุณอาจจะเป็นลูกของต้นไม้แปลกนี้หรือเปล่า?;Một cái cây nhỏ? Này bạn nhỏ! Có thể bạn là con của cây kỳ lạ này không?
;;monsterRoarShort;*kükrer* RAaagh!;*roars* RAaagh!;*ruge* ¡RAaagh!;*ruge* RAaagh!;*brüllt* RAaagh!;*rugir* RAaagh!;*ruggisce* RAaagh!;*ryczy* RAaagh!;*рычит* RAaagh!;*咆哮* RAaagh!;*咆哮* RAaagh!;*吠える* RAaagh!;*으르렁* RAaagh!;*गर्जना* RAaagh!;*يزأر* RAaagh!;*গর্জন করে* RAaagh!;*mengaum* RAaagh!;*คำราม* RAaagh!;*gầm* RAaagh!
1;Althea;areUAngryMonster;Sevgili canavar, yoksa bana kızdın mı?;Dear monster, are you mad at me?;Querido monstruo, ¿estás enojado conmigo?;Querido monstro, você está bravo comigo?;Lieber Monster, bist du wütend auf mich?;Cher monstre, tu es en colère contre moi?;Caro mostro, sei arrabbiato con me?;Drogi potworze, czy jesteś na mnie zły?;Дорогой монстр, ты злишься на меня?;亲爱的怪物，你生我气了吗？;親愛的怪物，你生我氣了嗎？;親愛なるモンスター、怒ってるの？;친애하는 괴물아, 혹시 나한테 화났어?;प्रिय राक्षस, क्या तुम मुझसे नाराज हो?;عزيزي الوحش، هل أنت غاضب مني؟;প্রিয় দানব, তুমি কি আমার ওপর রাগ করেছ?;Monster tersayang, apakah kamu marah padaku?;สัตว์ประหลาดที่รัก คุณโกรธฉันหรือเปล่า?;Quái vật thân yêu, bạn đang giận tôi à?
;;monsterRoarLong;*kükrer* RRRRRRaaaaaaagh!;*roars* RRRRRRaaaaaaagh!;*ruge* RRRRRRaaaaaaagh!;*ruge* RRRRRRaaaaaaagh!;*brüllt* RRRRRRaaaaaaagh!;*rugir* RRRRRRaaaaaaagh!;*ruggisce* RRRRRRaaaaaaagh!;*ryczy* RRRRRRaaaaaaagh!;*рычит* RRRRRRaaaaaaagh!;*咆哮* RRRRRRaaaaaaagh!;*咆哮* RRRRRRaaaaaaagh!;*吠える* RRRRRRaaaaaaagh!;*으르렁* RRRRRRaaaaaaagh!;*गर्जना* RRRRRRaaaaaaagh!;*يزأر* RRRRRRaaaaaaagh!;*গর্জন করে* RRRRRRaaaaaaagh!;*mengaum* RRRRRRaaaaaaagh!;*คำราม* RRRRRRaaaaaaagh!;*gầm* RRRRRRaaaaaaagh!
1;Althea;iGuessThatsYes;Sanırım bu evet demek!;I guess that means yes!;¡Supongo que eso significa que sí!;Acho que isso significa sim!;Ich schätze, das bedeutet ja!;Je suppose que ça veut dire oui!;Immagino che significhi sì!;Chyba to znaczy tak!;Думаю, это означает да!;我想那意味着是的！;我想那意味著是的！;そうだという意味だと思う！;그게 예스라는 뜻인가 봐!;मुझे लगता है कि इसका मतलब है हाँ!;أعتقد أن هذا يعني نعم!;আমার মনে হয় এর মানে হ্যাঁ!;Aku rasa itu berarti ya!;ฉันเดาว่านั่นแปลว่าใช่!;Tôi đoán điều đó có nghĩa là có!
1;Althea;soSorryMonster;*koşar* Özür dileriiiiiiiiim!;*running* I'm sooooooorry;*corriendo* ¡Lo sieeeento!;*correndo* Desculpeeeeeee;*rennend* Entschuuuuldigung;*en courant* Je suis désoléeeee;*correndo* Mi dispiaceeeee;*biegnąc* Przepraszam!;*бегом* Извиниииииии;*跑* 对不起;*跑* 對不起;*走る* ごめんねぇぇぇぇぇ;*뛰며* 미안해에에에에;*भागते हुए* मुझे माफ कर दो;*يركض* أنا آسف جدًا;*দৌড়ে* আমি দুঃখিত;*berlari* Maafkan aku;*วิ่ง* ฉันขอโทษ;*chạy* Tôi xin lỗiiiiiiii
;;dodge;Kaçın;Dodge;Esquivar;Esquivar;Ausweichen;Esquiver;Schivare;Unik;Уклонение;躲避;躲避;避ける;회피;बचाव;تفادي;এড়িয়ে যাও;Menghindar;หลบหลีก;Né tránh
